ID,In NGC_663?,,,,Alt Prob
Gaia DR3 511216904848308736,0.921052632,,,,0.078947368
,,,,,
Gaia DR3 511240647428820096,0.289473684,,,,0.710526316
,,,,,
Gaia DR3 511217111006741504,0.014619883,,,,0.985380117
,,,,,
Gaia DR3 511217106703303424,0,,,,1
,,,,,
Gaia DR3 511193712023507840,0.83625731,,,,0.16374269
,,,,,
Gaia DR3 511216934904622976,0.023391813,,,,0.976608187
,,,,,
Gaia DR3 511240647423364352,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511217042280171008,0,,,,1
,,,,,
Gaia DR3 511216939200954368,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511193639002003328,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217763841680000,0.66374269,,,,0.33625731
,,,,,
Gaia DR3 511217106703311232,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511240647428817024,0.340789474,,,,0.659210526
,,,,,
Gaia DR3 511217763833724416,0,,,,1
,,,,,
Gaia DR3 511264321284803328,0,,,,1
,,,,,
Gaia DR3 511217106700849664,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264321284800768,0,,,,1
,,,,,
Gaia DR3 511217488956740096,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511240647422705664,0.967836257,,,,0.032163743
,,,,,
Gaia DR3 511217037992550528,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264286925448064,0,,,,1
,,,,,
Gaia DR3 511217690818998528,0.108187135,,,,0.891812865
,,,,,
Gaia DR3 511216939208043008,0,,,,1
,,,,,
Gaia DR3 511217454604372480,0,,,,1
,,,,,
Gaia DR3 511217695115155584,0,,,,1
,,,,,
Gaia DR3 511217759538906496,0,,,,1
,,,,,
Gaia DR3 511264321284805632,0.014619883,,,,0.985380117
,,,,,
Gaia DR3 511217110999641728,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511217763841681024,0.029239766,,,,0.970760234
,,,,,
Gaia DR3 511217007919661824,0,,,,1
,,,,,
Gaia DR3 511217695122205696,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511216934913335296,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511240643124166912,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511264316984393728,0.020467836,,,,0.979532164
,,,,,
Gaia DR3 511217488963794304,0,,,,1
,,,,,
Gaia DR3 511217385877545472,0.078947368,,,,0.921052632
,,,,,
Gaia DR3 511217484660544384,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511240647428819968,0,,,,1
,,,,,
Gaia DR3 511264183845865344,0,,,,1
,,,,,
Gaia DR3 511264218210331008,0.763157895,,,,0.236842105
,,,,,
Gaia DR3 511217007927502592,0.839181287,,,,0.160818713
,,,,,
Gaia DR3 511264355644924160,0,,,,1
,,,,,
Gaia DR3 511216969264377984,0,,,,1
,,,,,
Gaia DR3 511240647422708224,0,,,,1
,,,,,
Gaia DR3 511216939208041984,0,,,,1
,,,,,
Gaia DR3 511240647422701952,0,,,,1
,,,,,
Gaia DR3 511240647428820480,0.201754386,,,,0.798245614
,,,,,
Gaia DR3 511193712024134272,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217695114252288,0,,,,1
,,,,,
Gaia DR3 511264321289538944,0.953216374,,,,0.046783626
,,,,,
Gaia DR3 511217763842009728,0,,,,1
,,,,,
Gaia DR3 511264664882577664,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217106703298560,0,,,,1
,,,,,
Gaia DR3 511217763841677696,0.298245614,,,,0.701754386
,,,,,
Gaia DR3 511217488963807104,0,,,,1
,,,,,
